"position","ntc1_counts","ntc1_C","ntc2_counts","ntc2_C","gnd","pressure_counts","pressure_hPa","chain","depth_m","node_nr","ntc_C"
1,1560171,-14.9826008780229,1566447,-15.0810835786362,-504,666384,666.384,"Kette 1",1,34,-15.0318422283296
2,2703548,-28.7041864466632,2703714,-28.7057661877494,-497,666173,666.173,"Kette 1",3,1,-28.7049763172063
3,2889604,-30.4267711240118,2886729,-30.4008482601993,-496,666159,666.159,"Kette 1",5,3,-30.4138096921056
4,2851753,-30.0838052419564,2852602,-30.0915381435321,-503,666473,666.473,"Kette 1",8,5,-30.0876716927443
5,2843708,-30.0104367815547,2841037,-29.9860407405361,-498,666519,666.519,"Kette 1",10,6,-29.9982387610454
6,2852744,-30.0928313328884,2843367,-30.0073232330331,-509,666787,666.787,"Kette 1",13,7,-30.0500772829607
7,2879059,-30.3315888886798,2884518,-30.3808983347965,-500,667278,667.278,"Kette 1",16,8,-30.3562436117381
8,2922367,-30.7207327377015,2927740,-30.7686894448351,-515,667677,667.677,"Kette 1",21,15,-30.7447110912683
9,2939712,-30.8752937428234,2944787,-30.9203796517611,-524,668403,668.403,"Kette 1",26,16,-30.8978366972922
10,2955339,-31.0139255276997,2951019,-30.9756598590649,-557,668798,668.798,"Kette 1",30,17,-30.9947926933823
11,1513966,-14.2453892007716,1517773,-14.3069591522933,-425,666273,666.273,"Kette 2",1,33,-14.2761741765324
12,2552599,-27.2328465001004,2557376,-27.2805215718662,-501,666223,666.223,"Kette 2",3,4,-27.2566840359833
13,2783945,-29.4600673270764,2787372,-29.4918864637349,-512,666409,666.409,"Kette 2",5,10,-29.4759768954057
14,2803950,-29.6453603443378,2806616,-29.6699721273651,-501,666441,666.441,"Kette 2",8,11,-29.6576662358515
15,2809382,-29.6954869397129,2811948,-29.7191385608215,-499,666821,666.821,"Kette 2",10,12,-29.7073127502672
16,NA,NA,NA,NA,-499,667021,667.021,"Kette 2",13,13,NA
17,2871366,-30.2619725129682,2870056,-30.2501029433515,-510,667761,667.761,"Kette 2",16,20,-30.2560377281599
18,2910734,-30.6166606676562,2908349,-30.5952827245176,-507,667896,667.896,"Kette 2",21,21,-30.6059716960869
19,2936941,-30.850650253466,2936558,-30.8472426426173,-511,668427,668.427,"Kette 2",26,22,-30.8489464480416
20,2961501,-31.0684305529042,2964442,-31.0944130392728,-532,668452,668.452,"Kette 2",30,24,-31.0814217960885
