"node","time","sensor","temp_C","counts"
1,2026-06-29 18:16:32,"ntc1_C",-5.55599736932533,1061919
1,2026-06-29 18:16:32,"ntc2_C",-6.08171687122393,1086055
1,2026-06-29 18:16:32,"testSB_C",-6.04032147309164,1082415
2,2026-06-29 18:16:32,"ntc1_C",-6.0530062890129,1083198
2,2026-06-29 18:16:32,"ntc2_C",-5.64843214075876,1064730
2,2026-06-29 18:16:32,"testSB_C",-5.98691579736982,1078627
3,2026-06-29 18:16:32,"ntc1_C",-5.67208019655698,1067607
3,2026-06-29 18:16:32,"ntc2_C",-5.56946853922085,1061286
3,2026-06-29 18:16:32,"testSB_C",-5.67681980692379,1067114
4,2026-06-29 18:16:32,"ntc1_C",-5.67530122626692,1065877
4,2026-06-29 18:16:32,"ntc2_C",-5.71296293160725,1069953
4,2026-06-29 18:16:32,"testSB_C",-5.47938910072452,1059124
5,2026-06-29 18:16:32,"ntc1_C",-5.35765733369107,1054306
5,2026-06-29 18:16:32,"ntc2_C",-5.7875558164132,1069707
5,2026-06-29 18:16:32,"testSB_C",-5.52263228450778,1062897
6,2026-06-29 18:16:32,"ntc1_C",-5.31296939432008,1052099
6,2026-06-29 18:16:32,"ntc2_C",-5.34121618706382,1052658
6,2026-06-29 18:16:32,"testSB_C",-5.12024726767942,1043856
7,2026-06-29 18:16:32,"ntc1_C",-5.18865362422196,1048872
7,2026-06-29 18:16:32,"ntc2_C",-5.24882048791608,1048900
7,2026-06-29 18:16:32,"testSB_C",-5.43203144238197,1057183
8,2026-06-29 18:16:32,"ntc1_C",-4.7281536120484,1025807
8,2026-06-29 18:16:32,"ntc2_C",-5.18762463160732,1046888
8,2026-06-29 18:16:32,"testSB_C",-5.16183839960337,1044241
9,2026-06-29 18:16:32,"ntc1_C",-4.86080695446611,1031498
9,2026-06-29 18:16:32,"ntc2_C",-5.10252525460538,1043967
9,2026-06-29 18:16:32,"testSB_C",-4.91585829530118,1033578
10,2026-06-29 18:16:32,"ntc1_C",-4.88671604607663,1035253
10,2026-06-29 18:16:32,"ntc2_C",-5.1512736526085,1044520
10,2026-06-29 18:16:32,"testSB_C",-4.82063214617176,1030413
11,2026-06-29 18:16:32,"ntc1_C",-4.78987363542007,1030226
11,2026-06-29 18:16:32,"ntc2_C",-5.06560428974865,1041792
11,2026-06-29 18:16:32,"testSB_C",-4.88695766653666,1033625
12,2026-06-29 18:16:32,"ntc1_C",-5.29339181707547,1052109
12,2026-06-29 18:16:32,"ntc2_C",-5.2493839583779,1047019
12,2026-06-29 18:16:32,"testSB_C",-5.16126496219658,1040403
13,2026-06-29 18:16:32,"ntc1_C",-4.88505188929543,1032646
13,2026-06-29 18:16:32,"ntc2_C",-5.22388809720502,1045857
13,2026-06-29 18:16:32,"testSB_C",-5.29504165424811,1048322
14,2026-06-29 18:16:32,"ntc1_C",-5.01600372658339,1040741
14,2026-06-29 18:16:32,"ntc2_C",-5.01404193985979,1038372
14,2026-06-29 18:16:32,"testSB_C",-5.26748239409756,1048519
15,2026-06-29 18:16:32,"ntc1_C",-5.28109895941685,1051446
15,2026-06-29 18:16:32,"ntc2_C",-5.20126509725748,1045383
15,2026-06-29 18:16:32,"testSB_C",-5.12171745096168,1040785
16,2026-06-29 18:16:32,"ntc1_C",-4.85047014960577,1033700
16,2026-06-29 18:16:32,"ntc2_C",-4.83055753896178,1030025
16,2026-06-29 18:16:32,"testSB_C",-5.38436094123568,1053470
17,2026-06-29 18:16:32,"ntc1_C",-4.95500845482542,1039502
17,2026-06-29 18:16:32,"ntc2_C",-5.01180010424912,1041413
17,2026-06-29 18:16:32,"testSB_C",-5.29842546022894,1053529
18,2026-06-29 18:16:32,"ntc1_C",-5.10238692152126,1044784
18,2026-06-29 18:16:32,"ntc2_C",-5.3735497308266,1053580
18,2026-06-29 18:16:32,"testSB_C",-5.52135517927121,1059535
19,2026-06-29 18:16:32,"ntc1_C",-5.21757813497896,1049240
19,2026-06-29 18:16:32,"ntc2_C",-5.20505161072242,1046268
19,2026-06-29 18:16:32,"testSB_C",-5.48818807395605,1057372
20,2026-06-29 18:16:32,"ntc1_C",-5.52076725777619,1059216
20,2026-06-29 18:16:32,"ntc2_C",-5.58449185724993,1064418
20,2026-06-29 18:16:32,"testSB_C",-5.514144742844,1062191
21,2026-06-29 18:16:32,"ntc1_C",-5.30754090198127,1050961
21,2026-06-29 18:16:32,"ntc2_C",-5.59327106878504,1064548
21,2026-06-29 18:16:32,"testSB_C",-5.55277705888585,1062243
22,2026-06-29 18:16:32,"ntc1_C",-5.47604125514613,1058252
22,2026-06-29 18:16:32,"ntc2_C",-5.77133538702805,1072622
22,2026-06-29 18:16:32,"testSB_C",-5.76260602408627,1073220
23,2026-06-29 18:16:32,"ntc1_C",-6.16642015190718,1090355
23,2026-06-29 18:16:32,"ntc2_C",-6.06131975637095,1084771
23,2026-06-29 18:16:32,"testSB_C",-6.23514595306455,1092569
24,2026-06-29 18:16:32,"ntc1_C",-5.93255461187073,1078133
24,2026-06-29 18:16:32,"ntc2_C",-5.4892847624393,1060434
1,2026-06-29 22:15:57,"ntc1_C",-7.41561977003215,1145426
1,2026-06-29 22:15:57,"ntc2_C",-7.21432140459484,1137292
1,2026-06-29 22:15:57,"testSB_C",-7.45423680094456,1146631
2,2026-06-29 22:15:57,"ntc1_C",-7.57674211588113,1152545
2,2026-06-29 22:15:57,"ntc2_C",-7.38669340919085,1142791
2,2026-06-29 22:15:57,"testSB_C",-7.43665305441067,1144210
3,2026-06-29 22:15:57,"ntc1_C",-7.33532716967642,1142381
3,2026-06-29 22:15:57,"ntc2_C",-7.00750522473743,1125266
3,2026-06-29 22:15:57,"testSB_C",-7.45949836210264,1147452
4,2026-06-29 22:15:57,"ntc1_C",-7.62777568161607,1154032
4,2026-06-29 22:15:57,"ntc2_C",-7.1152350548802,1132804
4,2026-06-29 22:15:57,"testSB_C",-7.53169389967184,1151421
5,2026-06-29 22:15:57,"ntc1_C",-6.95753779831119,1125177
5,2026-06-29 22:15:57,"ntc2_C",-7.36396788099302,1140617
5,2026-06-29 22:15:57,"testSB_C",-7.40998308652343,1147786
6,2026-06-29 22:15:57,"ntc1_C",-7.63296494817297,1156220
6,2026-06-29 22:15:57,"ntc2_C",-7.59165545940772,1153651
6,2026-06-29 22:15:57,"testSB_C",-7.64282265684875,1156746
7,2026-06-29 22:15:57,"ntc1_C",-7.64126498357155,1158978
7,2026-06-29 22:15:57,"ntc2_C",-7.45132507592575,1147314
7,2026-06-29 22:15:57,"testSB_C",-7.58497156696438,1154048
8,2026-06-29 22:15:57,"ntc1_C",-7.5231858743424,1149377
8,2026-06-29 22:15:57,"ntc2_C",-7.3110563039836,1141368
8,2026-06-29 22:15:57,"testSB_C",-7.68548549784185,1157189
