"node","time","sensor","temp_C","counts"
1,2026-07-14 21:25:29,"ntc1_C",-4.51837829298785,1017137
1,2026-07-14 21:25:29,"testSB_C",-4.52323735473789,1019681
2,2026-07-14 21:25:29,"ntc1_C",-4.48248778873676,1017254
2,2026-07-14 21:25:29,"ntc2_C",-4.41188733033488,1014092
2,2026-07-14 21:25:29,"testSB_C",-4.37901053474741,1015105
3,2026-07-14 21:25:29,"ntc1_C",-4.03327184280067,1000647
3,2026-07-14 21:25:29,"ntc2_C",-4.05041622656603,1000279
3,2026-07-14 21:25:29,"testSB_C",-4.01383297744616,998509
4,2026-07-14 21:25:29,"ntc1_C",-4.02564196429245,999802
4,2026-07-14 21:25:29,"ntc2_C",-3.98708101308603,995940
4,2026-07-14 21:25:29,"testSB_C",-4.08333029464853,1000015
5,2026-07-14 21:25:29,"ntc1_C",-4.11432098272201,1001325
5,2026-07-14 21:25:29,"ntc2_C",-4.18389196155204,1005557
5,2026-07-14 21:25:29,"testSB_C",-4.18241795781734,1006269
6,2026-07-14 21:25:29,"ntc1_C",-4.20569838913417,1005761
6,2026-07-14 21:25:29,"ntc2_C",-4.09124353019939,1002152
6,2026-07-14 21:25:29,"testSB_C",-4.094947386466,1002595
7,2026-07-14 21:25:29,"ntc1_C",-4.08197514238839,1000532
7,2026-07-14 21:25:29,"ntc2_C",-4.11475526617863,1003572
7,2026-07-14 21:25:29,"testSB_C",-4.21496878109974,1007745
8,2026-07-14 21:25:29,"ntc1_C",-4.29716459295622,1013037
8,2026-07-14 21:25:29,"ntc2_C",-4.26352565622057,1007705
8,2026-07-14 21:25:29,"testSB_C",-4.15645945008748,1001578
9,2026-07-14 21:25:29,"ntc1_C",-4.11716720935527,1001502
9,2026-07-14 21:25:29,"ntc2_C",-4.01440431782191,1000683
9,2026-07-14 21:25:29,"testSB_C",-4.00387459396694,998665
10,2026-07-14 21:25:29,"ntc1_C",-4.00130271499961,999088
10,2026-07-14 21:25:29,"ntc2_C",-3.99879975428433,996437
10,2026-07-14 21:25:29,"testSB_C",-4.09563051218845,1001066
11,2026-07-14 21:25:29,"ntc1_C",-4.06292382911028,1001811
11,2026-07-14 21:25:29,"ntc2_C",-3.9684517821625,997550
11,2026-07-14 21:25:29,"testSB_C",-3.95718555363197,995753
12,2026-07-14 21:25:29,"ntc1_C",-3.96145928374392,996875
12,2026-07-14 21:25:29,"ntc2_C",-3.89811183939116,993753
12,2026-07-14 21:25:29,"testSB_C",-3.97960352464065,996846
13,2026-07-14 21:25:29,"ntc1_C",-4.01877562098508,1002040
13,2026-07-14 21:25:29,"ntc2_C",-3.95980096186025,994543
13,2026-07-14 21:25:29,"testSB_C",-4.00208035247562,997888
14,2026-07-14 21:25:29,"ntc1_C",-4.07263232479312,999792
14,2026-07-14 21:25:29,"ntc2_C",-3.96637052737657,997892
14,2026-07-14 21:25:29,"testSB_C",-4.01361162621214,999650
15,2026-07-14 21:25:29,"ntc1_C",-4.03024815916842,997315
15,2026-07-14 21:25:29,"ntc2_C",-3.9996581024896,999437
15,2026-07-14 21:25:29,"testSB_C",-4.05079026161309,1001707
16,2026-07-14 21:25:29,"ntc1_C",-4.12118476858501,1001972
16,2026-07-14 21:25:29,"ntc2_C",-4.07071388902426,999305
16,2026-07-14 21:25:29,"testSB_C",-4.10423743343841,1000610
17,2026-07-14 21:25:29,"ntc1_C",-4.10564630459794,1001261
17,2026-07-14 21:25:29,"ntc2_C",-4.12071866619186,1001480
17,2026-07-14 21:25:29,"testSB_C",-4.14967045947884,1005690
18,2026-07-14 21:25:29,"ntc1_C",-4.104184660572,1004281
18,2026-07-14 21:25:29,"ntc2_C",-4.11156765161559,1002109
18,2026-07-14 21:25:29,"testSB_C",-4.10628291582964,1001054
19,2026-07-14 21:25:29,"ntc1_C",-4.06787155575336,1002454
19,2026-07-14 21:25:29,"ntc2_C",-4.10898098912713,1003065
19,2026-07-14 21:25:29,"testSB_C",-4.07582982603179,1003097
20,2026-07-14 21:25:29,"ntc1_C",-4.10442293332261,1002148
20,2026-07-14 21:25:29,"ntc2_C",-4.07557264714569,1002656
20,2026-07-14 21:25:29,"testSB_C",-4.04774659265792,998468
21,2026-07-14 21:25:29,"ntc1_C",-4.09662971925917,1000121
21,2026-07-14 21:25:29,"ntc2_C",-4.1075554815323,1002874
21,2026-07-14 21:25:29,"testSB_C",-4.14809224275996,1004639
22,2026-07-14 21:25:29,"ntc1_C",-4.10620604401436,1003138
22,2026-07-14 21:25:29,"ntc2_C",-4.07413309556455,1002966
22,2026-07-14 21:25:29,"testSB_C",-4.15766265633073,1003525
23,2026-07-14 21:25:29,"ntc1_C",-4.18764873990733,1008503
23,2026-07-14 21:25:29,"ntc2_C",-4.15033160537075,1004471
23,2026-07-14 21:25:29,"testSB_C",-4.23326795418626,1006165
24,2026-07-14 21:25:29,"ntc1_C",-4.20816210687207,1007283
24,2026-07-14 21:25:29,"ntc2_C",-4.2421824760599,1010229
24,2026-07-14 21:25:29,"testSB_C",-4.27317160581714,1007766
1,2026-07-15 00:24:57,"ntc1_C",-13.1974718855341,1448915
1,2026-07-15 00:24:57,"testSB_C",-13.1920461823559,1451670
2,2026-07-15 00:24:57,"ntc1_C",-13.1483079657938,1448221
2,2026-07-15 00:24:57,"ntc2_C",-13.1292382036031,1446684
2,2026-07-15 00:24:57,"testSB_C",-13.1479269059394,1450636
3,2026-07-15 00:24:57,"ntc1_C",-13.110516689936,1448226
3,2026-07-15 00:24:57,"ntc2_C",-13.086168344627,1445478
3,2026-07-15 00:24:57,"testSB_C",-13.0702695899162,1443861
4,2026-07-15 00:24:57,"ntc1_C",-13.0841817091317,1446063
4,2026-07-15 00:24:57,"ntc2_C",-13.0794155013176,1442331
4,2026-07-15 00:24:57,"testSB_C",-13.0481592643638,1440742
5,2026-07-15 00:24:57,"ntc1_C",-13.0072915958198,1438704
5,2026-07-15 00:24:57,"ntc2_C",-13.0335522360515,1441976
5,2026-07-15 00:24:57,"testSB_C",-13.00307297553,1441358
6,2026-07-15 00:24:57,"ntc1_C",-12.9869246196654,1438076
6,2026-07-15 00:24:57,"ntc2_C",-13.0243252895685,1442121
6,2026-07-15 00:24:57,"testSB_C",-13.0028457909273,1441100
7,2026-07-15 00:24:57,"ntc1_C",-12.9635326127741,1436833
7,2026-07-15 00:24:57,"ntc2_C",-13.0072577681121,1441837
7,2026-07-15 00:24:57,"testSB_C",-12.9766894548583,1439928
8,2026-07-15 00:24:57,"ntc1_C",-12.9472941026224,1441130
8,2026-07-15 00:24:57,"ntc2_C",-12.9227521950525,1433993
8,2026-07-15 00:24:57,"testSB_C",-12.953717382505,1433284
9,2026-07-15 00:24:57,"ntc1_C",-12.8913414772319,1431691
9,2026-07-15 00:24:57,"ntc2_C",-12.9331083197632,1439286
9,2026-07-15 00:24:57,"testSB_C",-12.9100324505164,1435557
10,2026-07-15 00:24:57,"ntc1_C",-12.8889339352968,1434793
10,2026-07-15 00:24:57,"ntc2_C",-12.9301001025661,1433677
10,2026-07-15 00:24:57,"testSB_C",-12.9038827507524,1433244
11,2026-07-15 00:24:57,"ntc1_C",-12.8957769831039,1435458
11,2026-07-15 00:24:57,"ntc2_C",-12.92736825156,1436820
11,2026-07-15 00:24:57,"testSB_C",-12.8805901904745,1432095
12,2026-07-15 00:24:57,"ntc1_C",-12.9128093868235,1435315
12,2026-07-15 00:24:57,"ntc2_C",-12.883191124271,1432786
12,2026-07-15 00:24:57,"testSB_C",-12.8769719096918,1432282
13,2026-07-15 00:24:57,"ntc1_C",-12.8786701128791,1437488
13,2026-07-15 00:24:57,"ntc2_C",-12.8680075064206,1429731
13,2026-07-15 00:24:57,"testSB_C",-12.8326944012882,1429929
14,2026-07-15 00:24:57,"ntc1_C",-12.8469114858566,1429187
14,2026-07-15 00:24:57,"ntc2_C",-12.8433432863618,1432409
14,2026-07-15 00:24:57,"testSB_C",-12.8387889327759,1432044
15,2026-07-15 00:24:57,"ntc1_C",-12.8247647692682,1426738
15,2026-07-15 00:24:57,"ntc2_C",-12.8233549458782,1431764
15,2026-07-15 00:24:57,"testSB_C",-12.8480221176658,1433470
16,2026-07-15 00:24:57,"ntc1_C",-12.7831689816855,1426008
16,2026-07-15 00:24:57,"ntc2_C",-12.8289396323959,1427903
16,2026-07-15 00:24:57,"testSB_C",-12.7598288993416,1423829
17,2026-07-15 00:24:57,"ntc1_C",-12.8009482233505,1426920
17,2026-07-15 00:24:57,"ntc2_C",-12.7479877319895,1423099
17,2026-07-15 00:24:57,"testSB_C",-12.71612500331,1425638
18,2026-07-15 00:24:57,"ntc1_C",-12.7393949773417,1427456
18,2026-07-15 00:24:57,"ntc2_C",-12.7319218861343,1423309
18,2026-07-15 00:24:57,"testSB_C",-12.6906360589708,1420312
19,2026-07-15 00:24:57,"ntc1_C",-12.6926635003356,1424472
19,2026-07-15 00:24:57,"ntc2_C",-12.7148769273282,1424317
19,2026-07-15 00:24:57,"testSB_C",-12.6737687389041,1423912
20,2026-07-15 00:24:57,"ntc1_C",-12.6991215036505,1422454
20,2026-07-15 00:24:57,"ntc2_C",-12.701121023073,1424911
20,2026-07-15 00:24:57,"testSB_C",-12.6575558289468,1417970
21,2026-07-15 00:24:57,"ntc1_C",-12.6594038655522,1417191
21,2026-07-15 00:24:57,"ntc2_C",-12.6813944182982,1422107
21,2026-07-15 00:24:57,"testSB_C",-12.6209340236674,1418832
22,2026-07-15 00:24:57,"ntc1_C",-12.6174790609996,1418865
22,2026-07-15 00:24:57,"ntc2_C",-12.6391259046235,1421470
22,2026-07-15 00:24:57,"testSB_C",-12.616030262072,1416361
23,2026-07-15 00:24:57,"ntc1_C",-12.6410208703969,1422995
23,2026-07-15 00:24:57,"ntc2_C",-12.6151133877339,1418051
23,2026-07-15 00:24:57,"testSB_C",-12.6310446682366,1416185
24,2026-07-15 00:24:57,"ntc1_C",-12.6115879423722,1418592
24,2026-07-15 00:24:57,"ntc2_C",-12.6126473544546,1420722
24,2026-07-15 00:24:57,"testSB_C",-12.5771898197317,1413355
1,2026-07-15 03:24:57,"ntc1_C",-15.0752352382814,1564309
1,2026-07-15 03:24:57,"testSB_C",-15.052975791723,1566150
2,2026-07-15 03:24:57,"ntc1_C",-14.9912874976222,1561324
2,2026-07-15 03:24:57,"ntc2_C",-15.0049759273243,1561744
2,2026-07-15 03:24:57,"testSB_C",-14.9916457313558,1563841
3,2026-07-15 03:24:57,"ntc1_C",-14.9301818000279,1559770
3,2026-07-15 03:24:57,"ntc2_C",-14.9122539621203,1557270
3,2026-07-15 03:24:57,"testSB_C",-14.917742982832,1556836
4,2026-07-15 03:24:57,"ntc1_C",-14.90715857149,1557695
4,2026-07-15 03:24:57,"ntc2_C",-14.8960095665211,1553256
4,2026-07-15 03:24:57,"testSB_C",-14.9166539544739,1554830
5,2026-07-15 03:24:57,"ntc1_C",-14.9105366578464,1554896
5,2026-07-15 03:24:57,"ntc2_C",-14.8603311864441,1553517
5,2026-07-15 03:24:57,"testSB_C",-14.8808783853862,1556096
6,2026-07-15 03:24:57,"ntc1_C",-14.8809544911038,1553515
